AREA,PERIMETER,PLS16_,PLS16_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS
9177.89148,3245.11350,115,14639355,16,M18S,23E,10,-119.47419,36.37908,M,18S,M18S23E10,M18S23E,16M18S23E10
2705.16863,1884.86583,116,14639473,16,M18S,18E,12,-119.95811,36.37452,M,18S,M18S18E12,M18S18E,16M18S18E12
2700235.36774,6576.25815,117,14639599,16,M18S,23E,18,-119.51920,36.36572,M,18S,M18S23E18,M18S23E,16M18S23E18
2663813.30750,6531.71982,118,14639600,16,M18S,23E,17,-119.50118,36.36559,M,18S,M18S23E17,M18S23E,16M18S23E17
2915926.22899,6839.04495,119,14435992,16,M18S,20E,16,-119.80681,36.36616,M,18S,M18S20E16,M18S20E,16M18S20E16
2717654.04070,6604.87733,120,14435993,16,M18S,20E,15,-119.78886,36.36614,M,18S,M18S20E15,M18S20E,16M18S20E15
2646386.24689,6520.30522,121,14639608,16,M18S,20E,17,-119.82466,36.36613,M,18S,M18S20E17,M18S20E,16M18S20E17
2443670.45076,6255.25937,122,14639611,16,M18S,20E,18,-119.84187,36.36672,M,18S,M18S20E18,M18S20E,16M18S20E18
2624188.04837,6479.98623,123,14639612,16,M18S,22E,13,-119.53709,36.36574,M,18S,M18S22E13,M18S22E,16M18S22E13
2570820.81705,6413.84860,124,14639616,16,M18S,19E,13,-119.85925,36.36668,M,18S,M18S19E13,M18S19E,16M18S19E13
2629982.45964,6484.05429,125,14639619,16,M18S,19E,14,-119.87725,36.36666,M,18S,M18S19E14,M18S19E,16M18S19E14
2578238.13185,6424.47360,126,14639622,16,M18S,19E,15,-119.89532,36.36666,M,18S,M18S19E15,M18S19E,16M18S19E15
2642906.24068,6565.66831,127,14639623,16,M18S,19E,17,-119.93136,36.36616,M,18S,M18S19E17,M18S19E,16M18S19E17
2704881.47618,6578.28369,128,14639624,16,M18S,19E,16,-119.91335,36.36619,M,18S,M18S19E16,M18S19E,16M18S19E16
2616332.08273,6470.60752,129,14639625,16,M18S,22E,14,-119.55499,36.36557,M,18S,M18S22E14,M18S22E,16M18S22E14
2635590.70490,6494.03566,130,14436022,16,M18S,22E,15,-119.57295,36.36539,M,18S,M18S22E15,M18S22E,16M18S22E15
2629226.28424,6486.21407,131,14436025,16,M18S,22E,16,-119.59094,36.36538,M,18S,M18S22E16,M18S22E,16M18S22E16
2643030.26381,6504.82938,132,14436026,16,M18S,21E,13,-119.64500,36.36557,M,18S,M18S21E13,M18S21E,16M18S21E13
2608922.27057,6460.12051,133,14436027,16,M18S,22E,18,-119.62699,36.36551,M,18S,M18S22E18,M18S22E,16M18S22E18
2637082.51239,6496.07156,134,14436031,16,M18S,22E,17,-119.60900,36.36535,M,18S,M18S22E17,M18S22E,16M18S22E17
2613568.46248,6466.67450,135,14436032,16,M18S,21E,14,-119.66307,36.36549,M,18S,M18S21E14,M18S21E,16M18S21E14
2606890.93477,6458.42001,136,14436039,16,M18S,21E,15,-119.68108,36.36542,M,18S,M18S21E15,M18S21E,16M18S21E15
2543203.42422,6385.06406,137,14639652,16,M18S,23E,16,-119.48324,36.36466,M,18S,M18S23E16,M18S23E,16M18S23E16
2619530.47934,6474.21250,138,14436043,16,M18S,21E,18,-119.73502,36.36543,M,18S,M18S21E18,M18S21E,16M18S21E18
2623359.69241,6478.75242,139,14436044,16,M18S,21E,17,-119.71702,36.36539,M,18S,M18S21E17,M18S21E,16M18S21E17
2643298.01807,6504.72957,140,14436045,16,M18S,20E,13,-119.75305,36.36544,M,18S,M18S20E13,M18S20E,16M18S20E13
2595120.89526,6443.81549,141,14436047,16,M18S,21E,16,-119.69905,36.36535,M,18S,M18S21E16,M18S21E,16M18S21E16
2616743.64172,6470.80439,142,14436048,16,M18S,20E,14,-119.77105,36.36544,M,18S,M18S20E14,M18S20E,16M18S20E14
9435.01648,3230.91085,143,14639662,16,M18S,23E,15,-119.47431,36.36456,M,18S,M18S23E15,M18S23E,16M18S23E15
2591155.73178,6438.57151,144,14639665,16,M18S,19E,18,-119.94923,36.36557,M,18S,M18S19E18,M18S19E,16M18S19E18
8897.23177,3235.88530,145,14639667,16,M18S,18E,13,-119.95821,36.36553,M,18S,M18S18E13,M18S18E,16M18S18E13
2537144.62457,6378.76394,146,14639927,16,M18S,20E,19,-119.84187,36.35200,M,18S,M18S20E19,M18S20E,16M18S20E19
