AREA,PERIMETER,PLS54_,PLS54_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2632774.92676,6490.96611,4773,106822,54,M24S,34E,27,-118.30005,35.81259,M,24S,M24S34E27,M24S34E,54M24S34E27,54M24S34E
2582673.04418,6432.91179,4774,106823,54,M24S,33E,27,-118.40738,35.81403,M,24S,M24S33E27,M24S33E,54M24S33E27,54M24S33E
2617787.87756,6471.82388,4775,106825,54,M24S,34E,28,-118.31799,35.81260,M,24S,M24S34E28,M24S34E,54M24S34E28,54M24S34E
2637547.25134,6503.64919,4776,106830,54,M24S,33E,26,-118.38925,35.81340,M,24S,M24S33E26,M24S33E,54M24S33E26,54M24S33E
2606150.40417,6458.33120,4777,106833,54,M24S,34E,29,-118.33584,35.81259,M,24S,M24S34E29,M24S34E,54M24S34E29,54M24S34E
2577071.57923,6421.63509,4778,106834,54,M24S,34E,30,-118.35362,35.81268,M,24S,M24S34E30,M24S34E,54M24S34E30,54M24S34E
2528342.08484,6363.24729,4779,106837,54,M24S,33E,25,-118.37125,35.81281,M,24S,M24S33E25,M24S33E,54M24S33E25,54M24S33E
2664744.39111,6531.19198,4780,106853,54,M24S,32E,26,-118.49419,35.81257,M,24S,M24S32E26,M24S32E,54M24S32E26,54M24S32E
2610700.53016,6464.08277,4781,106856,54,M24S,32E,27,-118.51204,35.81247,M,24S,M24S32E27,M24S32E,54M24S32E27,54M24S32E
2641602.48365,6501.52547,4782,106858,54,M24S,32E,28,-118.52980,35.81242,M,24S,M24S32E28,M24S32E,54M24S32E28,54M24S32E
2648462.82464,6505.95503,4783,106862,54,M24S,32E,29,-118.54773,35.81223,M,24S,M24S32E29,M24S32E,54M24S32E29,54M24S32E
2450830.44585,6267.49374,4784,106870,54,M24S,32E,30,-118.56506,35.81198,M,24S,M24S32E30,M24S32E,54M24S32E30,54M24S32E
2603967.16369,6455.76141,4785,106876,54,M24S,31E,25,-118.58232,35.81173,M,24S,M24S31E25,M24S31E,54M24S31E25,54M24S31E
2562196.42066,6402.83286,4786,106880,54,M24S,31E,26,-118.60011,35.81155,M,24S,M24S31E26,M24S31E,54M24S31E26,54M24S31E
2584079.94252,6430.34056,4787,106882,54,M24S,31E,27,-118.61794,35.81158,M,24S,M24S31E27,M24S31E,54M24S31E27,54M24S31E
2605628.83606,6457.28879,4788,106884,54,M24S,31E,28,-118.63595,35.81158,M,24S,M24S31E28,M24S31E,54M24S31E28,54M24S31E
2468290.20855,6286.61062,4789,106886,54,M24S,30E,25,-118.68929,35.81189,M,24S,M24S30E25,M24S30E,54M24S30E25,54M24S30E
2568008.21692,6410.84584,4790,106887,54,M24S,31E,30,-118.67179,35.81165,M,24S,M24S31E30,M24S31E,54M24S31E30,54M24S31E
2587061.47534,6435.62313,4791,106890,54,M24S,31E,29,-118.65395,35.81138,M,24S,M24S31E29,M24S31E,54M24S31E29,54M24S31E
2682085.69385,6551.11100,4792,106891,54,M24S,30E,28,-118.74250,35.81231,M,24S,M24S30E28,M24S30E,54M24S30E28,54M24S30E
2599578.99708,6450.43392,4793,106892,54,M24S,30E,27,-118.72450,35.81211,M,24S,M24S30E27,M24S30E,54M24S30E27,54M24S30E
2616755.66639,6470.84308,4794,106893,54,M24S,30E,29,-118.76062,35.81247,M,24S,M24S30E29,M24S30E,54M24S30E29,54M24S30E
2564687.04511,6406.80540,4795,106898,54,M24S,30E,26,-118.70675,35.81182,M,24S,M24S30E26,M24S30E,54M24S30E26,54M24S30E
2579185.59132,6424.06337,4796,106899,54,M24S,30E,30,-118.77850,35.81248,M,24S,M24S30E30,M24S30E,54M24S30E30,54M24S30E
2555069.04994,6394.24770,4797,106902,54,M24S,29E,25,-118.79624,35.81255,M,24S,M24S29E25,M24S29E,54M24S29E25,54M24S29E
2534746.19019,6368.65759,4798,106904,54,M24S,29E,26,-118.81391,35.81260,M,24S,M24S29E26,M24S29E,54M24S29E26,54M24S29E
2380798.86743,6174.59773,4799,106909,54,M24S,29E,27,-118.83107,35.81255,M,24S,M24S29E27,M24S29E,54M24S29E27,54M24S29E
3359541.45011,7357.34222,4800,106912,54,M24S,37E,31,-118.02913,35.80014,M,24S,M24S37E31,M24S37E,54M24S37E31,54M24S37E
1986359.23667,6299.83439,4801,106913,54,M24S,37E,32,-118.01331,35.79969,M,24S,M24S37E32,M24S37E,54M24S37E32,54M24S37E
3191021.07810,7177.79741,4802,106915,54,M24S,36E,36,-118.04843,35.80078,M,24S,M24S36E36,M24S36E,54M24S36E36,54M24S36E
2512209.90570,6340.67388,4803,106916,54,M24S,29E,28,-118.84814,35.81240,M,24S,M24S29E28,M24S29E,54M24S29E28,54M24S29E
2529158.43567,6361.49949,4804,106919,54,M24S,28E,25,-118.90074,35.81284,M,24S,M24S28E25,M24S28E,54M24S28E25,54M24S28E
2572472.37086,6403.88804,4805,106920,54,M24S,29E,30,-118.88299,35.81259,M,24S,M24S29E30,M24S29E,54M24S29E30,54M24S29E
2579786.38703,6424.86283,4806,106921,54,M24S,28E,26,-118.91844,35.81298,M,24S,M24S28E26,M24S28E,54M24S28E26,54M24S28E
2591341.12268,6439.09101,4807,106923,54,M24S,28E,27,-118.93631,35.81306,M,24S,M24S28E27,M24S28E,54M24S28E27,54M24S28E
2483560.96942,6317.86948,4808,106924,54,M24S,29E,29,-118.86544,35.81240,M,24S,M24S29E29,M24S29E,54M24S29E29,54M24S29E
2564826.37060,6406.12027,4809,106927,54,M24S,28E,28,-118.95413,35.81315,M,24S,M24S28E28,M24S28E,54M24S28E28,54M24S28E
2568136.10339,6410.28978,4810,106929,54,M24S,28E,29,-118.97190,35.81306,M,24S,M24S28E29,M24S28E,54M24S28E29,54M24S28E
2602685.38477,6453.20144,4811,106933,54,M24S,27E,25,-119.00810,35.81327,M,24S,M24S27E25,M24S27E,54M24S27E25,54M24S27E
2682561.73786,6552.22137,4812,106934,54,M24S,28E,30,-118.99000,35.81316,M,24S,M24S28E30,M24S28E,54M24S28E30,54M24S28E
2579855.89386,6418.99457,4813,106935,54,M24S,27E,26,-119.02586,35.81330,M,24S,M24S27E26,M24S27E,54M24S27E26,54M24S27E
2719665.33480,6634.61364,4814,106936,54,M24S,36E,35,-118.06696,35.80069,M,24S,M24S36E35,M24S36E,54M24S36E35,54M24S36E
2603607.52747,6457.92021,4815,106940,54,M24S,27E,27,-119.04363,35.81329,M,24S,M24S27E27,M24S27E,54M24S27E27,54M24S27E
2598917.10462,6443.09445,4816,106944,54,M24S,27E,28,-119.06145,35.81331,M,24S,M24S27E28,M24S27E,54M24S27E28,54M24S27E
2583894.84411,6434.82526,4817,106945,54,M24S,27E,29,-119.07931,35.81342,M,24S,M24S27E29,M24S27E,54M24S27E29,54M24S27E
2627407.56171,6488.89037,4818,106950,54,M24S,27E,30,-119.09740,35.81341,M,24S,M24S27E30,M24S27E,54M24S27E30,54M24S27E
2778607.43865,6672.98681,4819,106951,54,M24S,36E,34,-118.08476,35.80044,M,24S,M24S36E34,M24S36E,54M24S36E34,54M24S36E
2554414.55988,6393.48128,4820,106953,54,M24S,26E,25,-119.11542,35.81338,M,24S,M24S26E25,M24S26E,54M24S26E25,54M24S26E
2622438.94964,6471.50319,4821,106958,54,M24S,26E,26,-119.13337,35.81336,M,24S,M24S26E26,M24S26E,54M24S26E26,54M24S26E
2561597.84681,6402.01946,4822,106960,54,M24S,26E,27,-119.15128,35.81338,M,24S,M24S26E27,M24S26E,54M24S26E27,54M24S26E
2587143.93983,6433.85221,4823,106963,54,M24S,26E,28,-119.16903,35.81332,M,24S,M24S26E28,M24S26E,54M24S26E28,54M24S26E
2591725.51911,6439.54355,4824,106966,54,M24S,26E,29,-119.18685,35.81331,M,24S,M24S26E29,M24S26E,54M24S26E29,54M24S26E
2771915.47792,6659.54617,4825,106969,54,M24S,36E,33,-118.10300,35.80018,M,24S,M24S36E33,M24S36E,54M24S36E33,54M24S36E
2594678.97999,6443.21784,4826,106970,54,M24S,26E,30,-119.20468,35.81330,M,24S,M24S26E30,M24S26E,54M24S26E30,54M24S26E
2590293.14398,6437.86471,4827,106974,54,M24S,25E,25,-119.22252,35.81321,M,24S,M24S25E25,M24S25E,54M24S25E25,54M24S25E
2575035.59521,6418.92178,4828,106980,54,M24S,25E,26,-119.24032,35.81311,M,24S,M24S25E26,M24S25E,54M24S25E26,54M24S25E
2569223.61533,6414.04986,4829,106990,54,M24S,36E,32,-118.12091,35.79991,M,24S,M24S36E32,M24S36E,54M24S36E32,54M24S36E
2604958.10889,6456.66008,4830,106992,54,M24S,25E,27,-119.25821,35.81301,M,24S,M24S25E27,M24S25E,54M24S25E27,54M24S25E
2584021.33612,6432.59409,4831,106996,54,M24S,25E,28,-119.27608,35.81301,M,24S,M24S25E28,M24S25E,54M24S25E28,54M24S25E
2572390.11460,6422.60362,4832,106999,54,M24S,25E,29,-119.29377,35.81307,M,24S,M24S25E29,M24S25E,54M24S25E29,54M24S25E
2623749.97956,6473.08260,4833,107000,54,M24S,25E,30,-119.31161,35.81307,M,24S,M24S25E30,M24S25E,54M24S25E30,54M24S25E
2643037.41693,6500.74798,4834,107003,54,M24S,24E,25,-119.32967,35.81303,M,24S,M24S24E25,M24S24E,54M24S24E25,54M24S24E
2583811.34559,6442.65797,4835,107007,54,M24S,24E,26,-119.34760,35.81299,M,24S,M24S24E26,M24S24E,54M24S24E26,54M24S24E
2572322.69550,6425.94396,4836,107012,54,M24S,24E,27,-119.36540,35.81297,M,24S,M24S24E27,M24S24E,54M24S24E27,54M24S24E
2560630.53681,6394.14605,4837,107016,54,M24S,24E,28,-119.38316,35.81299,M,24S,M24S24E28,M24S24E,54M24S24E28,54M24S24E
2586002.60525,6431.46528,4838,107017,54,M24S,24E,29,-119.40095,35.81295,M,24S,M24S24E29,M24S24E,54M24S24E29,54M24S24E
