AREA,PERIMETER,PLS10_,PLS10_ID,COUNTY_CD,MTOWN,RANGE,SECTION,SOURCE,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2583293.98417000007,6429.81745810000,1061.00000000000,79786.00000000000,10,M10S,25E,06,1,-119.28691301600,37.08961368590,M,10S,M10S25E06,M10S25E,10M10S25E06,10M10S25E
2668671.83799999999,6535.20553029000,1062.00000000000,79787.00000000000,10,M10S,24E,01,1,-119.30483265200,37.08964835040,M,10S,M10S24E01,M10S24E,10M10S24E01,10M10S24E
2648348.48057000013,6512.84720845000,1063.00000000000,79788.00000000000,10,M10S,25E,05,1,-119.26852433100,37.08970105420,M,10S,M10S25E05,M10S25E,10M10S25E05,10M10S25E
2641734.37000000011,6502.00277020000,1064.00000000000,79792.00000000000,10,M10S,24E,02,1,-119.32295130000,37.08967924020,M,10S,M10S24E02,M10S24E,10M10S24E02,10M10S24E
2578482.50166000007,6424.09820913000,1065.00000000000,79796.00000000000,10,M10S,24E,03,1,-119.34091041900,37.08971733140,M,10S,M10S24E03,M10S24E,10M10S24E03,10M10S24E
2585956.07702000020,6434.43118522000,1066.00000000000,79798.00000000000,10,M10S,24E,04,1,-119.35882390300,37.08972946330,M,10S,M10S24E04,M10S24E,10M10S24E04,10M10S24E
2536576.50688999984,6371.15165783000,1067.00000000000,79806.00000000000,10,M10S,24E,05,1,-119.37670464100,37.08974895030,M,10S,M10S24E05,M10S24E,10M10S24E05,10M10S24E
2675756.67051000008,6544.10986382000,1068.00000000000,79815.00000000000,10,M10S,24E,06,1,-119.39494664300,37.08971774420,M,10S,M10S24E06,M10S24E,10M10S24E06,10M10S24E
2565390.21957999980,6406.54782877000,1069.00000000000,79825.00000000000,10,M10S,23E,01,1,-119.41332699100,37.08971161290,M,10S,M10S23E01,M10S23E,10M10S23E01,10M10S23E
2592880.54566999990,6441.09164444000,1070.00000000000,79831.00000000000,10,M10S,23E,02,1,-119.43143997400,37.08969771820,M,10S,M10S23E02,M10S23E,10M10S23E02,10M10S23E
2571904.28655999992,6414.90686843000,1071.00000000000,79836.00000000000,10,M10S,23E,03,1,-119.44959648600,37.08968922330,M,10S,M10S23E03,M10S23E,10M10S23E03,10M10S23E
2513425.76026999997,6341.73427780000,1072.00000000000,79842.00000000000,10,M10S,23E,04,1,-119.46749485500,37.08966363190,M,10S,M10S23E04,M10S23E,10M10S23E04,10M10S23E
2477954.35136000020,6305.17336988000,1073.00000000000,79847.00000000000,10,M10S,22E,02,1,-119.54162269000,37.08901665630,M,10S,M10S22E02,M10S22E,10M10S22E02,10M10S22E
2668851.55451000016,6537.03331238000,1074.00000000000,79848.00000000000,10,M10S,23E,05,1,-119.48577501400,37.08968411750,M,10S,M10S23E05,M10S23E,10M10S23E05,10M10S23E
2523039.17270000000,6359.66298601000,1075.00000000000,79852.00000000000,10,M10S,22E,01,1,-119.52373980000,37.08976254700,M,10S,M10S22E01,M10S22E,10M10S22E01,10M10S22E
2730753.01111999992,6620.79405660000,1076.00000000000,79862.00000000000,10,M10S,23E,06,1,-119.50496501000,37.08975324470,M,10S,M10S23E06,M10S23E,10M10S23E06,10M10S23E
2525732.53153999988,6309.54417778000,1077.00000000000,79877.00000000000,10,M10S,32E,17,1,-118.49879682000,37.07998139190,M,10S,M10S32E17,M10S32E,10M10S32E17,10M10S32E
4249832.97865999956,8478.35394975000,1078.00000000000,79878.00000000000,10,M10S,32E,18,1,-118.52225434500,37.08016458340,M,10S,M10S32E18,M10S32E,10M10S32E18,10M10S32E
753455.53922300006,3717.11486028000,1079.00000000000,79911.00000000000,10,M10S,22E,03,1,-119.55513636300,37.08655710210,M,10S,M10S22E03,M10S22E,10M10S22E03,10M10S22E
2627392.67030999996,6483.70721720000,1080.00000000000,79918.00000000000,10,M10S,31E,12,1,-118.54616883400,37.07691570980,M,10S,M10S31E12,M10S31E,10M10S31E12,10M10S31E
2571236.14362999983,6414.12310351000,1081.00000000000,79922.00000000000,10,M10S,31E,11,1,-118.56434456000,37.07691931990,M,10S,M10S31E11,M10S31E,10M10S31E11,10M10S31E
2573528.18137999997,6417.00917859000,1082.00000000000,79924.00000000000,10,M10S,31E,10,1,-118.58230820100,37.07692245720,M,10S,M10S31E10,M10S31E,10M10S31E10,10M10S31E
2597714.77277000016,6446.99815010000,1083.00000000000,79929.00000000000,10,M10S,31E,09,1,-118.60034055200,37.07692795470,M,10S,M10S31E09,M10S31E,10M10S31E09,10M10S31E
2617001.50160000008,6470.86234113000,1084.00000000000,79931.00000000000,10,M10S,31E,08,1,-118.61850065700,37.07691990810,M,10S,M10S31E08,M10S31E,10M10S31E08,10M10S31E
2550753.39392000018,6388.86351970000,1085.00000000000,79936.00000000000,10,M10S,31E,07,1,-118.63647301600,37.07691132330,M,10S,M10S31E07,M10S31E,10M10S31E07,10M10S31E
559598.12251000002,4492.28157245000,1086.00000000000,79957.00000000000,10,M10S,32E,16,1,-118.48335591000,37.07509084630,M,10S,M10S32E16,M10S32E,10M10S32E16,10M10S32E
2559651.33949999977,6405.73917346000,1087.00000000000,79969.00000000000,10,M10S,30E,07,0,-118.74546667200,37.07559345070,M,10S,M10S30E07,M10S30E,10M10S30E07,10M10S30E
2590030.22227999987,6438.08308774000,1088.00000000000,79970.00000000000,10,M10S,30E,08,0,-118.72745826700,37.07542324260,M,10S,M10S30E08,M10S30E,10M10S30E08,10M10S30E
2591300.43667000020,6439.03861822000,1089.00000000000,79971.00000000000,10,M10S,30E,09,0,-118.70933956900,37.07522429720,M,10S,M10S30E09,M10S30E,10M10S30E09,10M10S30E
2591329.92181000020,6439.07304816000,1090.00000000000,79972.00000000000,10,M10S,30E,10,0,-118.69121489700,37.07502174900,M,10S,M10S30E10,M10S30E,10M10S30E10,10M10S30E
2591140.14703000011,6438.83667894000,1091.00000000000,79973.00000000000,10,M10S,30E,11,0,-118.67309337300,37.07481587220,M,10S,M10S30E11,M10S30E,10M10S30E11,10M10S30E
2672090.09657000005,6540.40567206000,1092.00000000000,79974.00000000000,10,M10S,30E,12,0,-118.65469007900,37.07459639390,M,10S,M10S30E12,M10S30E,10M10S30E12,10M10S30E
2623655.91056000022,6480.05872915000,1093.00000000000,79999.00000000000,10,M10S,28E,12,1,-118.87169239600,37.07491772580,M,10S,M10S28E12,M10S28E,10M10S28E12,10M10S28E
2508457.33382999990,6336.47293231000,1094.00000000000,80000.00000000000,10,M10S,29E,07,0,-118.85380573500,37.07467198040,M,10S,M10S29E07,M10S29E,10M10S29E07,10M10S29E
2582992.26679999987,6429.37586548000,1095.00000000000,80003.00000000000,10,M10S,28E,11,1,-118.88986091100,37.07492315700,M,10S,M10S28E11,M10S28E,10M10S28E11,10M10S28E
2602076.59000999993,6452.56502946000,1096.00000000000,80005.00000000000,10,M10S,29E,08,0,-118.83594767600,37.07423765520,M,10S,M10S29E08,M10S29E,10M10S29E08,10M10S29E
2570594.68214000016,6414.15651603000,1097.00000000000,80006.00000000000,10,M10S,28E,10,1,-118.90787842700,37.07492102620,M,10S,M10S28E10,M10S28E,10M10S28E10,10M10S28E
2567146.24823000003,6409.90871173000,1098.00000000000,80010.00000000000,10,M10S,28E,09,1,-118.92587382700,37.07494005260,M,10S,M10S28E09,M10S28E,10M10S28E09,10M10S28E
2599650.53041000012,6449.53394476000,1099.00000000000,80011.00000000000,10,M10S,29E,09,0,-118.81777633400,37.07380880920,M,10S,M10S29E09,M10S29E,10M10S29E09,10M10S29E
2580506.16238000011,6426.68696441000,1100.00000000000,80014.00000000000,10,M10S,28E,08,1,-118.94394145500,37.07492916540,M,10S,M10S28E08,M10S28E,10M10S28E08,10M10S28E
2610186.94314000010,6462.62207041000,1101.00000000000,80016.00000000000,10,M10S,29E,10,0,-118.79954228700,37.07345279910,M,10S,M10S29E10,M10S29E,10M10S29E10,10M10S29E
2492471.50010999991,6316.30176288000,1102.00000000000,80017.00000000000,10,M10S,28E,07,1,-118.96178001400,37.07496965340,M,10S,M10S28E07,M10S28E,10M10S28E07,10M10S28E
2610211.08825000003,6463.66683888000,1103.00000000000,80018.00000000000,10,M10S,29E,11,0,-118.78141105600,37.07304149620,M,10S,M10S29E11,M10S29E,10M10S29E11,10M10S29E
2550864.88811000017,6389.81693718000,1104.00000000000,80020.00000000000,10,M10S,29E,12,0,-118.76356865000,37.07282525130,M,10S,M10S29E12,M10S29E,10M10S29E12,10M10S29E
2585940.79981999984,6432.46865319000,1105.00000000000,80023.00000000000,10,M10S,27E,12,1,-118.97966716800,37.07493683070,M,10S,M10S27E12,M10S27E,10M10S27E12,10M10S27E
2456089.28123999992,6268.93878334000,1106.00000000000,80026.00000000000,10,M10S,27E,11,1,-118.99739682600,37.07490383190,M,10S,M10S27E11,M10S27E,10M10S27E11,10M10S27E
2595270.97699999996,6444.00657138000,1107.00000000000,80028.00000000000,10,M10S,27E,10,1,-119.01507351200,37.07493637950,M,10S,M10S27E10,M10S27E,10M10S27E10,10M10S27E
2573378.98182999995,6416.92260340000,1108.00000000000,80029.00000000000,10,M10S,27E,09,1,-119.03311848100,37.07497131920,M,10S,M10S27E09,M10S27E,10M10S27E09,10M10S27E
2632313.82248000009,6489.82698330000,1109.00000000000,80031.00000000000,10,M10S,27E,08,1,-119.05125201600,37.07501214400,M,10S,M10S27E08,M10S27E,10M10S27E08,10M10S27E
2617729.34108999977,6471.79976283000,1110.00000000000,80032.00000000000,10,M10S,27E,07,1,-119.06950182500,37.07504231450,M,10S,M10S27E07,M10S27E,10M10S27E07,10M10S27E
2534031.25590000022,6368.83459839000,1111.00000000000,80033.00000000000,10,M10S,26E,12,1,-119.08737494700,37.07509342960,M,10S,M10S26E12,M10S26E,10M10S26E12,10M10S26E
2603849.83144999994,6454.86817132000,1112.00000000000,80037.00000000000,10,M10S,26E,11,1,-119.10516108600,37.07511926520,M,10S,M10S26E11,M10S26E,10M10S26E11,10M10S26E
2592295.99739000015,6441.34484562000,1113.00000000000,80040.00000000000,10,M10S,26E,10,1,-119.12311407900,37.07514079160,M,10S,M10S26E10,M10S26E,10M10S26E10,10M10S26E
2606651.74175000004,6458.45427209000,1114.00000000000,80041.00000000000,10,M10S,26E,09,1,-119.14105578000,37.07518816820,M,10S,M10S26E09,M10S26E,10M10S26E09,10M10S26E
2566255.42283000005,6408.46362979000,1115.00000000000,80044.00000000000,10,M10S,26E,08,1,-119.15895697600,37.07525345910,M,10S,M10S26E08,M10S26E,10M10S26E08,10M10S26E
2650813.28312999988,6512.24657547000,1116.00000000000,80046.00000000000,10,M10S,26E,07,1,-119.17708144200,37.07532473270,M,10S,M10S26E07,M10S26E,10M10S26E07,10M10S26E
2627404.90818999987,6483.51286745000,1117.00000000000,80051.00000000000,10,M10S,25E,12,1,-119.19548938900,37.07538273470,M,10S,M10S25E12,M10S25E,10M10S25E12,10M10S25E
2608772.26356999995,6460.87783172000,1118.00000000000,80053.00000000000,10,M10S,25E,11,1,-119.21382752100,37.07544264860,M,10S,M10S25E11,M10S25E,10M10S25E11,10M10S25E
