site_code_pre_1990,site_name_pre_1990,is_orchard_crop_pre_1990,is_annual_crop_pre_1990,is_forage_pre_1990,applied_water_category_pre_1990,site_code_1990_2016,site_name_1990_2016,cc_crop_category_2016,tree_loss_price_per_acre,tree_loss_price_per_acre_year5,is_orchard_crop_1990_2016,is_annual_crop_1990_2016,is_forage_1990_2016,applied_water_category_1990_2016,,crop_name_HR_2010,AW_HR_2010,AW_HR_2009,AW_HR_2008,AW_HR_2007,AW_HR_2006,AW_HR_2005,AW_HR_2004,AW_HR_2003,AW_HR_2002,AW_HR_2001,AW_HR_2000,AW_HR_1999,AW_HR_1998,AW_HR_2010_min
3201,cotton,,1,,Cotton,6012,PERSIMMON,PERSIMMONS,6803.221477,16954.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
7,county agricultural commissioner,,,,,6013,PINEAPPLE,,,,,1,,Subtrop,,,,,,,,,,,,,,,,
975,county agricultural commissioner,,,,,6015,POMEGRANATE,POMEGRANATES,5510.35,16937.45,1,,,Oth Dec,,,,,,,,,,,,,,,,
945,county road,,,,,6018,KIWI,KIWIFRUIT,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
4204,cottonseed,,1,,Cotton,6028,CACTUS PEAR,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
2507,cranberry,1,,,Oth Trk ,6030,CHERIMOYA,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
1313,cucumber,,1,,Cucurb,7000,BEVERAGE CROP,,,,,,,,,,,,,,,,,,,,,,,
1127,daikon,,1,,Oth Trk ,8000,"HERB, SPICE",,,,,1,,,,,,,,,,,,,,,,,,
1237,dandelion greens,,1,,Oth Trk ,8004,ANISE,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2402,date,1,,,Subtrop,8006,"BASIL, SWEET",,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
7200,deciduous ornamental tree,1,,,Oth Dec,8015,DILL,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
5402,dill,,1,,Oth Trk ,8019,GINGER,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
6300,domestic animal,,,,,8020,HOPS,,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
9301,dried fruit,,,,Oth Dec,8035,SAGE,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
6202,duck,,,,,8041,TARRAGON,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1341,eggplant,,1,,Oth Trk ,8050,"PEPPER, SPICE",PEPPERS CHILI HOT,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
6204,eggs,,,,,10000,CUCURBITS,,,,,1,,Cucurb,,,,,,,,,,,,,,,,
